INDEX, action count,go_forward(go),go_forward(could not go),turn right,turn left, suck up,  cleaned cell(0)
226, 1862, 339, 138, 505, 518, 500, 69 
227, 1855, 360, 145, 498, 495, 502, 66 
228, 1882, 383, 118, 505, 514, 480, 50 
229, 1830, 332, 170, 498, 496, 504, 68 
230, 1845, 368, 155, 500, 526, 451, 79 
231, 1830, 306, 170, 521, 495, 508, 48 
232, 1812, 343, 188, 463, 500, 506, 74 
233, 1858, 373, 142, 504, 509, 472, 64 
234, 1840, 345, 160, 494, 494, 507, 80 
235, 1854, 342, 146, 485, 492, 535, 88 
236, 1850, 359, 150, 502, 522, 467, 75 
237, 1866, 327, 134, 526, 495, 518, 56 
238, 1848, 342, 152, 525, 486, 495, 61 
239, 1835, 310, 165, 492, 495, 538, 68 
240, 1820, 313, 180, 514, 504, 489, 57 
241, 1888, 382, 112, 499, 480, 527, 80 
242, 1873, 333, 127, 522, 536, 482, 48 
243, 1840, 370, 160, 479, 494, 497, 73 
244, 1869, 390, 131, 514, 487, 478, 70 
245, 1860, 344, 140, 559, 492, 465, 81 
246, 1854, 338, 146, 530, 502, 484, 46 
247, 1828, 328, 172, 490, 523, 487, 62 
248, 1839, 326, 161, 508, 514, 491, 66 
249, 1818, 340, 182, 444, 541, 493, 57 
250, 1857, 361, 143, 488, 510, 498, 45 
251, 1844, 340, 156, 477, 505, 522, 55 
252, 1825, 338, 175, 505, 498, 484, 77 
253, 1834, 328, 166, 483, 504, 519, 59 
254, 1825, 342, 175, 523, 511, 449, 52 
255, 1864, 329, 136, 512, 508, 515, 48 
256, 1854, 334, 146, 511, 471, 538, 65 
257, 1832, 359, 168, 506, 482, 485, 54 
258, 1812, 322, 188, 493, 505, 492, 62 
259, 1852, 354, 148, 485, 479, 534, 74 
260, 1845, 332, 155, 493, 501, 519, 25 
261, 1844, 309, 156, 491, 541, 503, 58 
262, 1837, 367, 163, 479, 470, 521, 60 
263, 1867, 369, 133, 495, 517, 486, 59 
264, 1852, 376, 148, 496, 469, 511, 75 
265, 1877, 328, 123, 529, 514, 506, 60 
266, 1900, 385, 100, 515, 494, 506, 76 
267, 1847, 351, 153, 510, 487, 499, 55 
268, 1862, 324, 138, 547, 474, 517, 72 
269, 1854, 375, 146, 492, 467, 520, 56 
270, 1858, 340, 142, 498, 505, 515, 65 
271, 1843, 340, 157, 489, 489, 525, 25 
272, 1832, 329, 168, 518, 485, 500, 69 
273, 1844, 332, 156, 498, 515, 499, 57 
274, 1796, 322, 204, 506, 474, 494, 43 
275, 1833, 340, 167, 491, 497, 505, 48 
276, 1869, 342, 131, 500, 485, 542, 57 
277, 1821, 322, 179, 501, 525, 473, 63 
278, 1832, 300, 168, 511, 536, 485, 66 
279, 1857, 361, 143, 492, 516, 488, 77 
280, 1852, 368, 148, 466, 502, 516, 65 
281, 1872, 380, 128, 486, 497, 509, 75 
282, 1829, 364, 171, 488, 486, 491, 66 
283, 1857, 320, 143, 544, 485, 508, 66 
284, 1834, 342, 166, 513, 473, 506, 51 
285, 1881, 363, 119, 479, 517, 522, 74 
286, 1851, 326, 149, 508, 523, 494, 60 
287, 1870, 344, 130, 533, 512, 481, 49 
288, 1861, 346, 139, 504, 513, 498, 63 
289, 1829, 331, 171, 552, 468, 478, 55 
290, 1846, 361, 154, 488, 491, 506, 88 
291, 1848, 357, 152, 479, 512, 500, 67 
292, 1828, 346, 172, 468, 490, 524, 34 
293, 1842, 355, 158, 480, 503, 504, 52 
294, 1841, 322, 159, 497, 514, 508, 69 
295, 1795, 330, 205, 499, 474, 492, 60 
296, 1881, 356, 119, 535, 504, 486, 62 
297, 1845, 355, 155, 486, 520, 484, 54 
298, 1845, 330, 155, 520, 495, 500, 66 
299, 1845, 333, 155, 499, 537, 476, 72 
300, 1849, 337, 151, 495, 530, 487, 51 
301, 1849, 380, 151, 495, 454, 520, 73 
302, 1868, 394, 132, 493, 462, 519, 87 
303, 1835, 354, 165, 492, 509, 480, 79 
304, 1861, 358, 139, 493, 499, 511, 57 
305, 1844, 343, 156, 506, 496, 499, 73 
306, 1843, 346, 157, 484, 502, 511, 65 
307, 1869, 340, 131, 510, 509, 510, 84 
308, 1866, 330, 134, 511, 530, 495, 66 
309, 1849, 324, 151, 488, 515, 522, 60 
310, 1840, 317, 160, 515, 510, 498, 68 
311, 1861, 372, 139, 477, 496, 516, 55 
312, 1831, 324, 169, 468, 502, 537, 74 
313, 1854, 398, 146, 502, 458, 496, 66 
314, 1875, 349, 125, 508, 534, 484, 71 
315, 1865, 386, 135, 506, 499, 474, 62 
316, 1864, 348, 136, 506, 521, 489, 74 
317, 1811, 319, 189, 484, 507, 501, 64 
318, 1849, 313, 151, 496, 517, 523, 58 
319, 1855, 354, 145, 525, 512, 464, 82 
320, 1857, 396, 143, 483, 501, 477, 70 
321, 1835, 359, 165, 507, 502, 467, 58 
322, 1860, 384, 140, 477, 502, 497, 80 
323, 1824, 330, 176, 483, 498, 513, 46 
324, 1836, 370, 164, 493, 474, 499, 72 
325, 1865, 367, 135, 501, 488, 509, 84 
326, 1833, 316, 167, 489, 508, 520, 69 
327, 1825, 347, 175, 496, 483, 499, 68 
328, 1795, 301, 205, 463, 506, 525, 50 
329, 1851, 329, 149, 538, 493, 491, 82 
330, 1895, 369, 105, 521, 518, 487, 83 
331, 1877, 348, 123, 479, 530, 520, 63 
332, 1857, 367, 143, 535, 493, 462, 65 
333, 1837, 344, 163, 480, 492, 521, 74 
334, 1854, 359, 146, 485, 487, 523, 54 
335, 1846, 348, 154, 488, 501, 509, 58 
336, 1846, 347, 154, 508, 471, 520, 61 
337, 1849, 343, 151, 485, 531, 490, 71 
338, 1863, 342, 137, 487, 505, 529, 73 
339, 1840, 360, 160, 495, 475, 510, 69 
340, 1813, 356, 187, 489, 473, 495, 53 
341, 1855, 363, 145, 485, 498, 509, 62 
342, 1852, 370, 148, 519, 498, 465, 53 
343, 1828, 325, 172, 475, 477, 551, 64 
344, 1871, 331, 129, 488, 518, 534, 73 
345, 1851, 364, 149, 494, 502, 491, 79 
346, 1872, 315, 128, 541, 500, 516, 76 
347, 1879, 354, 121, 516, 507, 502, 73 
348, 1838, 341, 162, 501, 523, 473, 67 
349, 1864, 364, 136, 498, 506, 496, 49 
350, 1842, 352, 158, 524, 471, 495, 59 
351, 1843, 360, 157, 506, 509, 468, 70 
352, 1840, 355, 160, 495, 493, 497, 68 
353, 1833, 318, 167, 490, 499, 526, 75 
354, 1866, 343, 134, 528, 485, 510, 74 
355, 1821, 316, 179, 473, 490, 542, 59 
356, 1830, 322, 170, 479, 488, 541, 45 
357, 1814, 333, 186, 475, 517, 489, 67 
358, 1819, 317, 181, 492, 496, 514, 54 
359, 1832, 331, 168, 505, 517, 479, 67 
360, 1843, 364, 157, 488, 498, 493, 72 
361, 1824, 293, 176, 512, 507, 512, 60 
362, 1852, 357, 148, 480, 491, 524, 47 
363, 1857, 363, 143, 511, 494, 489, 59 
364, 1837, 355, 163, 490, 487, 505, 83 
365, 1810, 336, 190, 499, 495, 480, 49 
366, 1845, 343, 155, 495, 493, 514, 68 
367, 1867, 348, 133, 529, 512, 478, 87 
368, 1840, 347, 160, 478, 494, 521, 68 
369, 1852, 332, 148, 514, 489, 517, 64 
370, 1846, 335, 154, 495, 515, 501, 82 
371, 1866, 358, 134, 504, 509, 495, 47 
372, 1867, 361, 133, 490, 515, 501, 63 
373, 1830, 341, 170, 487, 474, 528, 62 
374, 1870, 370, 130, 470, 513, 517, 56 
375, 1822, 328, 178, 512, 474, 508, 47 
376, 1848, 372, 152, 470, 495, 511, 50 
377, 1823, 337, 177, 459, 530, 497, 65 
378, 1830, 349, 170, 483, 499, 499, 74 
379, 1879, 389, 121, 481, 512, 497, 68 
380, 1850, 371, 150, 533, 477, 469, 73 
381, 1846, 332, 154, 493, 515, 506, 70 
382, 1860, 375, 140, 503, 484, 498, 69 
383, 1830, 333, 170, 481, 520, 496, 48 
384, 1869, 371, 131, 527, 465, 506, 88 
385, 1846, 342, 154, 494, 501, 509, 61 
386, 1845, 358, 155, 496, 508, 483, 80 
387, 1872, 373, 128, 523, 489, 487, 85 
388, 1873, 383, 127, 510, 484, 496, 82 
389, 1845, 350, 155, 496, 501, 498, 69 
390, 1856, 346, 144, 507, 498, 505, 74 
391, 1815, 344, 185, 479, 483, 509, 69 
392, 1851, 384, 149, 512, 513, 442, 67 
393, 1844, 337, 156, 481, 492, 534, 55 
394, 1842, 343, 158, 493, 498, 508, 71 
395, 1861, 340, 139, 491, 535, 495, 76 
396, 1863, 350, 137, 516, 495, 502, 82 
397, 1810, 322, 190, 455, 535, 498, 55 
398, 1840, 366, 160, 473, 487, 514, 86 
399, 1846, 364, 154, 499, 487, 496, 66 
400, 1837, 349, 163, 522, 481, 485, 60 
401, 1846, 347, 154, 488, 512, 499, 72 
402, 1828, 343, 172, 528, 450, 507, 65 
403, 1822, 323, 178, 493, 490, 516, 49 
404, 1849, 347, 151, 510, 486, 506, 55 
405, 1855, 349, 145, 507, 470, 529, 62 
406, 1816, 321, 184, 510, 500, 485, 61 
407, 1806, 308, 194, 488, 497, 513, 51 
408, 1818, 303, 182, 509, 476, 530, 68 
409, 1869, 348, 131, 520, 498, 503, 55 
410, 1846, 333, 154, 516, 492, 505, 52 
411, 1863, 357, 137, 497, 490, 519, 55 
412, 1860, 361, 140, 523, 477, 499, 70 
413, 1832, 327, 168, 489, 524, 492, 39 
414, 1840, 358, 160, 510, 469, 503, 83 
415, 1846, 376, 154, 490, 485, 495, 60 
416, 1838, 362, 162, 455, 537, 484, 82 
417, 1820, 346, 180, 480, 511, 483, 73 
418, 1815, 359, 185, 468, 474, 514, 68 
419, 1848, 351, 152, 494, 498, 505, 63 
420, 1851, 368, 149, 517, 487, 479, 39 
421, 1864, 339, 136, 515, 503, 507, 68 
422, 1844, 329, 156, 538, 472, 505, 73 
423, 1851, 335, 149, 491, 498, 527, 76 
424, 1840, 330, 160, 510, 532, 468, 78 
425, 1864, 359, 136, 485, 530, 490, 77 
426, 1823, 318, 177, 502, 487, 516, 75 
427, 1876, 348, 124, 509, 507, 512, 71 
428, 1834, 325, 166, 535, 494, 480, 63 
429, 1846, 352, 154, 507, 509, 478, 49 
430, 1856, 334, 144, 507, 516, 499, 62 
431, 1861, 354, 139, 490, 492, 525, 77 
432, 1847, 386, 153, 485, 482, 494, 70 
433, 1861, 341, 139, 519, 500, 501, 70 
434, 1866, 405, 134, 505, 487, 469, 61 
435, 1866, 390, 134, 503, 479, 494, 56 
436, 1839, 362, 161, 503, 496, 478, 61 
437, 1830, 356, 170, 521, 455, 498, 62 
438, 1822, 306, 178, 477, 497, 542, 47 
439, 1839, 319, 161, 480, 501, 539, 72 
440, 1813, 352, 187, 456, 502, 503, 66 
441, 1853, 340, 147, 502, 483, 528, 68 
