Index, action count, go forward(go), turn right, turn left, suck up,  cleaned cell(0)
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 16,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 17,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 18,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 19,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 20,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
