INDEX, action count,go_forward(go),go_forward(could not go),turn right,turn left, suck up,  cleaned cell(0)
380, 1908, 424, 92, 463, 514, 507, 77 
381, 1929, 432, 71, 526, 493, 478, 89 
382, 1903, 405, 97, 516, 503, 479, 87 
383, 1926, 434, 74, 494, 483, 515, 73 
384, 1905, 417, 95, 471, 524, 493, 81 
385, 1898, 394, 102, 528, 486, 490, 82 
386, 1919, 422, 81, 515, 488, 494, 84 
387, 1902, 422, 98, 504, 474, 502, 82 
388, 1907, 393, 93, 517, 504, 493, 71 
389, 1934, 448, 66, 488, 520, 478, 92 
390, 1909, 404, 91, 497, 477, 531, 87 
391, 1906, 415, 94, 502, 504, 485, 78 
392, 1882, 370, 118, 504, 483, 525, 78 
393, 1910, 451, 90, 495, 498, 466, 72 
394, 1914, 428, 86, 490, 503, 493, 83 
395, 1912, 412, 88, 505, 492, 503, 77 
396, 1905, 408, 95, 477, 514, 506, 72 
397, 1923, 410, 77, 513, 503, 497, 80 
398, 1905, 396, 95, 459, 549, 501, 88 
399, 1888, 425, 112, 463, 503, 497, 83 
400, 1922, 419, 78, 501, 468, 534, 84 
401, 1888, 411, 112, 532, 483, 462, 80 
402, 1894, 413, 106, 468, 500, 513, 86 
403, 1902, 400, 98, 527, 479, 496, 90 
404, 1882, 381, 118, 519, 468, 514, 79 
405, 1923, 418, 77, 494, 503, 508, 82 
406, 1902, 406, 98, 493, 478, 525, 83 
407, 1911, 399, 89, 538, 479, 495, 84 
408, 1879, 394, 121, 490, 494, 501, 85 
409, 1888, 374, 112, 507, 485, 522, 84 
410, 1903, 383, 97, 504, 502, 514, 77 
411, 1934, 422, 66, 522, 489, 501, 89 
412, 1896, 404, 104, 492, 499, 501, 88 
413, 1902, 401, 98, 536, 470, 495, 83 
414, 1901, 371, 99, 493, 510, 527, 84 
415, 1879, 391, 121, 513, 484, 491, 64 
416, 1904, 435, 96, 489, 484, 496, 89 
417, 1905, 417, 95, 468, 522, 498, 87 
418, 1872, 410, 128, 472, 512, 478, 72 
419, 1877, 433, 123, 475, 486, 483, 77 
420, 1879, 393, 121, 458, 490, 538, 71 
421, 1935, 441, 65, 509, 504, 481, 77 
422, 1909, 420, 91, 511, 482, 496, 76 
423, 1923, 375, 77, 548, 479, 521, 81 
424, 1914, 417, 86, 502, 501, 494, 84 
425, 1910, 394, 90, 492, 522, 502, 83 
426, 1897, 382, 103, 505, 526, 484, 85 
427, 1921, 420, 79, 488, 502, 511, 86 
428, 1911, 396, 89, 525, 489, 501, 75 
429, 1920, 401, 80, 518, 512, 489, 91 
430, 1911, 412, 89, 522, 501, 476, 80 
431, 1934, 409, 66, 506, 523, 496, 89 
432, 1903, 405, 97, 489, 504, 505, 83 
433, 1904, 420, 96, 485, 473, 526, 72 
434, 1910, 422, 90, 501, 492, 495, 77 
435, 1926, 445, 74, 513, 477, 491, 77 
436, 1932, 453, 68, 504, 500, 475, 83 
437, 1928, 447, 72, 496, 489, 496, 86 
438, 1908, 444, 92, 531, 465, 468, 84 
439, 1904, 405, 96, 475, 496, 528, 76 
440, 1891, 358, 109, 495, 491, 547, 77 
441, 1893, 404, 107, 499, 483, 507, 79 
442, 1897, 412, 103, 450, 498, 537, 74 
443, 1930, 424, 70, 504, 495, 507, 91 
444, 1933, 434, 67, 496, 473, 530, 76 
445, 1883, 387, 117, 506, 504, 486, 71 
446, 1919, 441, 81, 448, 530, 500, 81 
447, 1877, 372, 123, 487, 496, 522, 73 
448, 1927, 436, 73, 453, 496, 542, 84 
449, 1899, 376, 101, 533, 495, 495, 74 
450, 1898, 412, 102, 495, 456, 535, 86 
451, 1917, 426, 83, 507, 493, 491, 85 
452, 1892, 412, 108, 496, 505, 479, 73 
453, 1890, 414, 110, 495, 493, 488, 87 
454, 1917, 399, 83, 517, 522, 479, 82 
455, 1902, 416, 98, 507, 443, 536, 84 
456, 1896, 411, 104, 468, 502, 515, 77 
457, 1878, 383, 122, 549, 471, 475, 80 
458, 1906, 430, 94, 520, 466, 490, 84 
459, 1947, 412, 53, 510, 517, 508, 87 
460, 1927, 396, 73, 471, 523, 537, 83 
461, 1897, 422, 103, 475, 508, 492, 86 
462, 1926, 420, 74, 522, 488, 496, 79 
463, 1900, 393, 100, 485, 523, 499, 74 
464, 1928, 433, 72, 516, 497, 482, 84 
465, 1949, 429, 51, 502, 525, 493, 70 
466, 1921, 437, 79, 525, 483, 476, 89 
467, 1894, 416, 106, 511, 484, 483, 83 
468, 1900, 392, 100, 543, 494, 471, 82 
469, 1903, 433, 97, 478, 506, 486, 85 
470, 1936, 431, 64, 502, 506, 497, 83 
471, 1914, 405, 86, 464, 516, 529, 89 
472, 1891, 401, 109, 490, 505, 495, 89 
473, 1898, 419, 102, 498, 491, 490, 82 
474, 1883, 379, 117, 507, 489, 508, 77 
475, 1915, 425, 85, 454, 511, 525, 76 
476, 1884, 399, 116, 498, 509, 478, 73 
477, 1914, 384, 86, 527, 465, 538, 87 
478, 1918, 414, 82, 475, 520, 509, 87 
479, 1897, 431, 103, 482, 475, 509, 81 
480, 1911, 429, 89, 469, 492, 521, 86 
481, 1896, 419, 104, 505, 476, 496, 71 
482, 1937, 454, 63, 510, 475, 498, 70 
483, 1904, 429, 96, 485, 504, 486, 84 
484, 1923, 414, 77, 517, 463, 529, 87 
485, 1915, 408, 85, 487, 499, 521, 88 
486, 1945, 454, 55, 517, 500, 474, 88 
487, 1929, 459, 71, 509, 469, 492, 83 
488, 1888, 395, 112, 474, 505, 514, 84 
489, 1932, 433, 68, 480, 520, 499, 88 
490, 1909, 386, 91, 498, 515, 510, 81 
491, 1902, 401, 98, 498, 510, 493, 79 
492, 1941, 431, 59, 500, 540, 470, 87 
493, 1886, 401, 114, 481, 482, 522, 82 
494, 1895, 381, 105, 530, 488, 496, 69 
495, 1937, 441, 63, 516, 496, 484, 85 
496, 1901, 410, 99, 507, 497, 487, 76 
497, 1902, 414, 98, 485, 508, 495, 83 
498, 1928, 445, 72, 524, 489, 470, 85 
499, 1943, 412, 57, 504, 512, 515, 78 
500, 1939, 437, 61, 490, 506, 506, 94 
Index: 1
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
Index: 2
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
Index: 3
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
Index: 4
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
Index: 5
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
Index: 6
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
Index: 7
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
